place,latitude,longitude,state,travelers
Place 1,45.360458,11.78979015,state 1,9
Place 2,51.8806,-4.06223011,,1
Place 3,42.743889,11.864444,state 2,1
Place 4,44.675072,8.466609955,state 3,2
Place 5,45.68803,5.914619923,,9
Place 6,45.68803,5.914619923,,1
Place 7,41.73,12.69999981,,2
Place 8,41.33,19.82,,1
Place 9,41.728534,12.658854,,26
Place 10,44.907242,8.611559868,,22
Place 11,36.771568,3.059259892,,1
Place 12,40.633888,14.60321999,,3
Place 13,39.133121,16.07139969,,3
Place 14,52.37403,4.88969,,8
Place 15,43.61666667,13.51666667,,80
Place 16,49.300678,10.57203007,,2
Place 17,43.580139,7.12130022,,4
Place 18,41.45063,12.62467003,,3
Place 19,41.45063,12.62467003,,2
Place 20,45.737511,7.320720196,,2
Place 21,46.153912,10.15217972,,1
Place 22,42.35397,13.39476967,,1
Place 23,40.84527778,14.07194444,,2
Place 24,43.46305556,11.87805556,,6
Place 25,44.6171421,11.8369081,,2
Place 26,41.152061,15.08308983,,1
Place 27,41.7211083,12.6726413,,2
Place 28,41.0218158,14.5000054,,1
Place 29,45.26911,11.72045,,2
Place 30,42.85472222,13.57527778,,1
Place 31,41.01224,28.976018,,7
Place 32,45.2201286,10.4130142,,1
Place 33,43.0707017,12.6195966,,10
Place 34,44.9007512,8.2064257,,2
Place 35,48.370338,10.8978796,,16
Place 36,48.20833,16.373064,,18
Place 37,40.914388,14.7906121,,1
Place 38,42.0281396,13.4255637,,1
Place 39,43.94861111,4.808333333,,3
Place 40,43.762161,10.44073963,,4
Place 41,40.817558,14.07110977,,11
Place 42,41.388039,2.17001009,,4
Place 43,41.12587,16.86665916,,5
Place 44,41.3196635,16.2838207,,1
Place 45,45.76656,11.72739,,27
Place 46,42.22228,12.18785,,2
Place 47,40.71667,14.16667,,1
Place 48,41.1297613,14.7826208,,6
Place 49,45.6982642,9.6772698,,46
Place 50,52.516041,13.37691021,,9
Place 51,46.948429,7.440460205,,9
Place 52,41.240459,16.50164032,,1
Place 53,47.586929,1.331310034,,2
Place 54,44.504822,11.34517956,,867
Place 55,42.6442035,11.9864377,,14
Place 56,46.495281,11.35346031,,9
Place 57,44.84,-0.58,,4
Place 58,43.57258,12.13858,,2
Place 59,45.90375,8.5305,,15
Place 60,50.72555556,1.613888889,,3
Place 61,42.102371,12.17640018,,3
Place 62,47,11.5,,1
Place 63,47.00707,11.50653,,3
Place 64,45.536591,10.23204041,,59
Place 65,45.53888889,10.22028056,,1
Place 66,50.82838,-0.13947,,4
Place 67,40.6327278,17.9417616,,6
Place 68,51.50722222,-0.1275,,2
Place 69,52.26594,10.52673,,1
Place 70,50.8467,4.3547,,4
Place 71,43.1360569,11.4796048,,1
Place 72,36.529881,-6.29025984,,2
Place 73,41.1784083,14.3646988,,1
Place 74,39.293129,16.25702095,,11
Place 75,50.95319,1.853659987,,20
Place 76,43.7262346,10.5134513,,4
Place 77,42.56604,8.75713,,1
Place 78,35.342449,25.15333939,,1
Place 79,41.9685623,13.393248,,1
Place 80,42.3272312,12.2387494,,9
Place 81,40.55073,14.24263,,35
Place 82,41.10555556,14.21388889,,273
Place 83,44.0793245,10.097677,,9
Place 84,41.07262,14.33231,,9
Place 85,42.870461,11.87724972,,3
Place 86,41.75,12.65,,15
Place 87,45.67146,11.92755,,4
Place 88,41.75,12.65,,1
Place 89,41.30579,15.48281002,,1
Place 90,42.0822512,13.5429874,,1
Place 91,44.7315319,11.2908156,,9
Place 92,41.2656592,15.8939163,,1
Place 93,45.92375,6.86933,,1
Place 94,51.38194444,0.523333333,,4
Place 95,42.346642,14.16526985,,1
Place 96,42.2891482,12.4143169,,4
Place 97,42.0924239,11.7954132,,32
Place 98,42.82685,12.76931,,1
Place 99,50.360901,7.592820168,,3
Place 100,50.93333,6.95,,5
Place 101,45.810711,9.08714962,,5
Place 102,45.889197,12.3006368,,16
Place 103,41.01384,28.94966,,26
Place 104,39.618599,19.90770912,,2
Place 105,41.64358,12.91121,,1
Place 106,42.148235,9.102701187,,33
Place 107,43.2750634,11.98512,,10
Place 108,39.2982629,16.2537357,,3
Place 109,45.3643375,9.6824841,,2
Place 110,45.133249,10.0226511,,31
Place 111,35.15585,24.89502,,1
Place 112,45.86889,7.17056,,2
Place 113,40.848611,14.053611,,2
Place 114,40.848611,14.053611,,4
Place 115,43.51,16.45,,2
Place 116,39.008125,-75.4674683,,1
Place 117,52.923431,-1.48444998,,3
Place 118,49.927151,1.079380035,,1
Place 119,47.32305556,5.041944444,,2
Place 120,51.1275,1.312222222,,81
Place 121,51.05089,13.73832,,17
Place 122,53.3425,-6.265833333,,27
Place 123,47.499722,19.05508041,,1
Place 124,40.61694444,15.05638889,,3
Place 125,55.9543,-3.20188999,,12
Place 126,30.049919,31.24860001,,11
Place 127,42.77663,10.27788,,3
Place 128,51.50722222,-0.1275,,713
Place 129,50.72153889,-3.533108333,,5
Place 130,44.28333333,11.88333333,,4
Place 131,50.15441,-5.07113,,4
Place 132,43.8398164,13.0194201,,9
Place 133,43.1588734,13.7200884,,1
Place 134,46.25858,6.11063,,3
Place 135,44.8381237,11.619787,,120
Place 136,43.8064785,11.2931525,,4
Place 137,44.9278495,9.9131456,,4
Place 138,41.76666667,12.23333333,,1
Place 139,43.77138889,11.25416667,,2973
Place 140,41.462158,15.54483986,,2
Place 141,42.95611111,12.70333333,,28
Place 142,41.35787,13.42718,,1
Place 143,48.4,2.7,,4
Place 144,51.08638,-2.10773993,,2
Place 145,44.2225,12.04083333,,10
Place 146,43.69017,12.81173,,2
Place 147,48.85657778,2.351827778,,43
Place 148,50.11208,8.683409691,,5
Place 149,41.8091,12.67942,,31
Place 150,43.44722222,3.755555556,,1
Place 151,41.995,13.547222,,1
Place 152,45.41981,12.257,,2
Place 153,41.21408,13.57082,,3
Place 154,40.0558508,17.9926137,,3
Place 155,46.20222,6.14569,,120
Place 156,44.40718611,8.933983333,,732
Place 157,41.70706,12.68904,,6
Place 158,41.70706,12.68904,,3
Place 159,48.13743,11.57549,,56
Place 160,51.05563,3.728559971,,1
Place 161,36.13775,-5.345361111,,7
Place 162,41.1866839,16.6735966,,1
Place 163,47.068611,15.44326973,,1
Place 164,51.44206,0.37106,,4
Place 165,36.41666667,25.43333333,,1
Place 166,37.97944444,23.71611111,,19
Place 167,36.41666667,25.43333333,,1
Place 168,51.48,0,,3
Place 169,40.81563,14.33716,,1
Place 170,45.18694444,5.726388889,,2
Place 171,40.93591,14.25983,,3
Place 172,52.067299,4.288990021,,2
Place 173,53.55,10,,2
Place 174,52.372269,9.738149643,,4
Place 175,51.93527778,1.2625,,32
Place 176,49.40768,8.69079,,2
Place 177,40.80569,14.34799,,40
Place 178,52.38333333,4.9,,7
Place 179,44.3599996,11.7124294,,2
Place 180,47.26266,11.39454,,5
Place 181,53.3425,-6.265833333,,10
Place 182,40.742809,13.94301987,,38
Place 183,41.5960411,14.2331612,,1
Place 184,42.782711,10.286335,,8
Place 185,40.75636,14.01457,,2
Place 186,45.89538,8.52708,,1
Place 187,41.67841,13.57015038,,1
Place 188,44.865791,13.84943962,,1
Place 189,41.89305556,12.48277778,,174
Place 190,40.838856,14.07614994,,2
Place 191,42.6,11.93333,,3
Place 192,46.0160486,9.2571676,,2
Place 193,45.6049385,10.6351414,,1
Place 194,45.95,8.633333333,,6
Place 195,41.71667,12.7,,1
Place 196,42.316667,12.166667,,2
Place 197,46.5196,6.632219791,,22
Place 198,40.3515155,18.1750161,,4
Place 199,43.55,10.31666667,,1113
Place 200,52.15833,4.49306,,3
Place 201,55.977299,-3.17535996,,2
Place 202,44.0756332,9.9169337,,47
Place 203,42.0727827,12.9004489,,6
Place 204,50.63373,5.56749,,2
Place 205,52.6653,-8.6238,,1
Place 206,38.726391,-9.14947987,,18
Place 207,53.410091,-2.97843003,,1
Place 208,43.548473,10.3105674,,3
Place 209,45.3097228,9.503716,,3
Place 210,45.464161,9.190336,,2
Place 211,51.50853,-0.12574,,278
Place 212,43.4396423,13.6065668,,169
Place 213,48.69277778,6.183611111,,1
Place 214,45.81379,10.06995,,5
Place 215,43.84198,10.51531029,,214
Place 216,46.0065117,8.9523121,,1
Place 217,45.759392,4.828979969,,33
Place 218,43.2984268,13.4534767,,11
Place 219,39.88944444,4.264166667,,2
Place 220,35.890556,14.43953609,,63
Place 221,41.6307347,15.9165105,,4
Place 222,49.488889,8.469167,,2
Place 223,45.1564168,10.7913751,,175
Place 224,51.38132,1.38617,,2
Place 225,41.76984,12.65917,,5
Place 226,44.0777573,11.613709,,1
Place 227,43.29666667,5.376388889,,38
Place 228,44.0354437,10.1393221,,6
Place 229,50.000622,8.272410393,,2
Place 230,38.18333333,15.55,,19
Place 231,31.78333333,35.21666667,,3
Place 232,45.4654219,9.1859243,,681
Place 233,39.96666667,4.083333333,,5
Place 234,44.64783,10.92539,,182
Place 235,45.55594,12.24294,,2
Place 236,41.2027767,16.5987187,,1
Place 237,43.73141,7.41903,,1
Place 238,40.9525166,17.2985559,,1
Place 239,45.260162,6.900895,,45
Place 240,41.4916194,13.8158578,,6
Place 241,45.45919,11.38272,,2
Place 242,42.5402375,12.0337914,,8
Place 243,42.9430097,13.3446715,,3
Place 244,45.5845001,9.2744485,,1
Place 245,48.13743,11.57549,,18
Place 246,48.68439,6.18496,,1
Place 247,40.840141,14.25226021,,2392
Place 248,42.517799,12.51640034,,19
Place 249,36.878941,30.70926094,,7
Place 250,45.35753,11.78725,,1
Place 251,52.38333333,4.9,,2
Place 252,41.458969,12.66298008,,1
Place 253,43.70313,7.26608,,48
Place 254,40.79546,14.16359,,1
Place 255,40.747338,14.638914,,2
Place 256,40.9270884,14.528886,,1
Place 257,52.66666667,1,,1
Place 258,45.4654219,9.1859243,,4
Place 259,52.62783,1.29834,,3
Place 260,45.19065,7.01416,,2
Place 261,45.44693,8.6221612,,1
Place 262,44.76246,8.787,,13
Place 263,48.366667,10.9,,1
Place 264,50.9466,17.2926,,1
Place 265,41.85869,13.03601,,1
Place 266,52.08333,1.56667,,2
Place 267,42.7185068,12.1107446,,15
Place 268,51.21551,2.927,,6
Place 269,41.73212,12.27654,,4
Place 270,40.1438978,18.4911678,,6
Place 271,51.751944,-1.257778,,1
Place 272,45.40638889,11.87777778,,1339
Place 273,40.42,15.00555556,,70
Place 274,38.115658,13.361262,,45
Place 275,41.84029,12.89270973,,6
Place 276,45.412967,12.054112,,1
Place 277,48.85657778,2.351827778,,141
Place 278,44.80147222,10.328,,352
Place 279,45.18528056,9.155,,31
Place 280,42.4933212,12.3548194,,1
Place 281,41.03694,28.9775,,1
Place 282,43.1121,12.3888,,58
Place 283,43.91015,12.9133,,32
Place 284,39.952221,-75.162178,,2
Place 285,45.05242,9.69342,,84
Place 286,41.35082,14.36803,,1
Place 287,45.06666667,7.7,,2
Place 288,45.13677,7.05809,,1
Place 289,41.47047,13.17867,,4
Place 290,43.70853,10.4036,,490
Place 291,43.93333333,10.91666667,,20
Place 292,45.05242,9.69342,,1
Place 293,50.37153,-4.14305,,8
Place 294,43.4725646,11.146754,,3
Place 295,44.865791,13.84943962,,11
Place 296,44.86833,13.84806,,1
Place 297,50.06138889,19.93722222,,2
Place 298,40.9948996,17.2225389,,1
Place 299,40.5148399,15.4948137,,1
Place 300,40.750556,14.489722,,43
Place 301,41.4545679,13.6637674,,1
Place 302,41.41667,12.91667,,1
Place 303,40.81563,14.33716,,33
Place 304,42.8108565,10.3211801,,1
Place 305,40.03681,15.28812,,1
Place 306,44.30349,9.20942,,4
Place 307,50.79899,-1.09125,,17
Place 308,38.726391,-9.14947987,,1
Place 309,40.81139,14.20172977,,19
Place 310,40.84394,14.0952,,10
Place 311,50.083333,14.416667,,3
Place 312,45.9646956,11.7095642,,3
Place 313,40.75636,14.01457,,4
Place 314,42.89553,11.77005,,8
Place 315,44.3496,9.22796,,1
Place 316,49.01513,12.10161,,15
Place 317,44.4183598,12.2035294,,52
Place 318,45.70373,11.22216,,2
Place 319,38.1113006,15.6472914,,9
Place 320,44.69825,10.63125,,56
Place 321,44.05755,12.56528,,58
Place 322,45.071331,7.515940189,,3
Place 323,51.3883,0.4982,,3
Place 324,41.89305556,12.48277778,,5060
Place 325,42.28899,12.21479,,2
Place 326,51.9225,4.47917,,2
Place 327,45.89096,11.0401399,,2
Place 328,45.8904,11.04053,,2
Place 329,45.070148,11.78954983,,20
Place 330,55.75222,37.61556,,1
Place 331,43.69039,10.51691,,2
Place 332,42.685089,9.307290077,,2
Place 333,40.893291,14.28569031,,5
Place 334,43.81725,7.7772,,1
Place 335,46.20222,6.14569,,1
Place 336,40.673481,14.77124977,,14
Place 337,45.608392,10.5104769,,2
Place 338,47.800652,13.04337025,,1
Place 339,43.93333333,12.46666667,,2
Place 340,43.81725,7.7772,,3
Place 341,43.439758,13.60725975,,1
Place 342,44.2975603,8.4645,,12
Place 343,45.56465,5.92645,,3
Place 344,45.7170517,11.3597702,,4
Place 345,55.95206,-3.19648,,14
Place 346,43.7197926,13.2152224,,3
Place 347,43.07185,12.95217,,2
Place 348,43.995093,10.228071,,1
Place 349,41.23987,13.92966,,1
Place 350,44.27317,9.39683,,3
Place 351,38.18333333,15.55,,142
Place 352,43.31833333,11.33138889,,361
Place 353,38.418611,27.139167,,2
Place 354,40.82758,14.1394,,2
Place 355,41.7188539,13.6130491,,2
Place 356,40.62678,14.37771,,7
Place 357,44.793396,3.279489,,1
Place 358,40.35481,18.17244,,3
Place 359,50.49115,5.8635602,,18
Place 360,40.4165,-3.70256,,22
Place 361,43.506969,16.44207001,,4
Place 362,44.10202,9.820240021,,1
Place 363,42.73333333,12.73333333,,42
Place 364,45.55594,12.24294,,2
Place 365,46.55916667,8.561666667,,3
Place 366,59.933182,30.30603981,,1
Place 367,45.86889,7.17056,,2
Place 368,48.585041,7.736420155,,4
Place 369,38.78333,15.21667,,2
Place 370,41.9246531,13.0936685,,1
Place 371,45.138538,7.048409939,,9
Place 372,46.94798,7.44743,,79
Place 373,42.0686395,13.2517751,,1
Place 374,44.504822,11.34517956,,4
Place 375,40.46537,17.25053978,,10
Place 376,42.6611431,13.6986639,,1
Place 377,42.56666667,12.65,,46
Place 378,41.29174,13.24359,,13
Place 379,42.04945,13.92578,,13
Place 380,52.083333,4.316667,,8
Place 381,45.67146,11.92755,,5
Place 382,41.959721,12.79805565,,67
Place 383,42.7819352,12.4065686,,10
Place 384,40.78931,14.36806,,1
Place 385,44.8952122,8.8633326,,3
Place 386,43.125,5.930555556,,4
Place 387,43.60444444,1.443888889,,8
Place 388,41.2774857,16.4178334,,1
Place 389,41.9600762,13.536615,,1
Place 390,46.06787,11.12108,,19
Place 391,46.06787,11.12108,,13
Place 392,42.877529,12.74876022,,2
Place 393,45.6668893,12.2430437,,30
Place 394,45.6495264,13.7768182,,18
Place 395,38.6769938,15.8972233,,3
Place 396,45.06666667,7.7,,1177
Place 397,37.03944444,27.42916667,,4
Place 398,43.7710513,11.2486208,,16
Place 399,47.26266,11.39454,,2
Place 400,46.064522,13.23806953,,5
Place 401,43.72523889,12.6372,,35
Place 402,52.08888889,5.115555556,,2
Place 403,44.26913,8.43375,,3
Place 404,43.13851,13.17156,,2
Place 405,45.6448315,11.3024802,,21
Place 406,39.468681,-0.37691,,2
Place 407,43.732201,11.55751896,,8
Place 408,45.50948,11.02798557,,7
Place 409,45.5768405,9.5311364,,1
Place 410,45.82058,8.82511,,2
Place 411,41.68573,12.77753,,7
Place 412,45.67146,11.92755,,7
Place 413,45.43811,12.31814957,,2686
Place 414,45.3202272,8.4185735,,9
Place 415,45.54672,11.5475,,1
Place 416,45.43815833,10.99374167,,462
Place 417,40.82293,14.42874,,43
Place 418,40.3507,17.7326,,3
Place 419,43.86693,10.2502,,10
Place 420,45.54672,11.5475,,200
Place 421,48.20849,16.37208,,106
Place 422,40.6702,14.72661,,16
Place 423,43.70392,7.31088,,2
Place 424,42.4206766,12.107669,,66
Place 425,44.9916599,9.0120442,,2
Place 426,44.6223796,8.842666,,1
Place 427,52.60831,1.73052,,2
Place 428,53.7446,-0.33525,,4
Place 429,37.8,20.75,,1
Place 430,48.64882,9.57137,,1
Place 431,47.377071,8.539560318,,3